Title,Price,Review,Sentiment
A Light in the Attic,Â£51.77,This book titled 'A Light in the Attic' is interesting.,Positive
Tipping the Velvet,Â£53.74,This book titled 'Tipping the Velvet' is interesting.,Positive
Soumission,Â£50.10,This book titled 'Soumission' is interesting.,Positive
Sharp Objects,Â£47.82,This book titled 'Sharp Objects' is interesting.,Positive
Sapiens: A Brief History of Humankind,Â£54.23,This book titled 'Sapiens: A Brief History of Humankind' is interesting.,Positive
The Requiem Red,Â£22.65,This book titled 'The Requiem Red' is interesting.,Positive
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,This book titled 'The Dirty Little Secrets of Getting Your Dream Job' is interesting.,Negative
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,"This book titled 'The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull' is interesting.",Neutral
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,This book titled 'The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics' is interesting.,Positive
The Black Maria,Â£52.15,This book titled 'The Black Maria' is interesting.,Positive
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,"This book titled 'Starving Hearts (Triangular Trade Trilogy, #1)' is interesting.",Positive
Shakespeare's Sonnets,Â£20.66,This book titled 'Shakespeare's Sonnets' is interesting.,Positive
Set Me Free,Â£17.46,This book titled 'Set Me Free' is interesting.,Positive
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,This book titled 'Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)' is interesting.,Positive
Rip it Up and Start Again,Â£35.02,This book titled 'Rip it Up and Start Again' is interesting.,Positive
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,"This book titled 'Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991' is interesting.",Positive
Olio,Â£23.88,This book titled 'Olio' is interesting.,Positive
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,This book titled 'Mesaerion: The Best Science Fiction Stories 1800-1849' is interesting.,Positive
Libertarianism for Beginners,Â£51.33,This book titled 'Libertarianism for Beginners' is interesting.,Positive
It's Only the Himalayas,Â£45.17,This book titled 'It's Only the Himalayas' is interesting.,Positive
In Her Wake,Â£12.84,This book titled 'In Her Wake' is interesting.,Positive
How Music Works,Â£37.32,This book titled 'How Music Works' is interesting.,Positive
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â£30.52,"This book titled 'Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More' is interesting.",Positive
Chase Me (Paris Nights #2),Â£25.27,This book titled 'Chase Me (Paris Nights #2)' is interesting.,Positive
Black Dust,Â£34.53,This book titled 'Black Dust' is interesting.,Positive
Birdsong: A Story in Pictures,Â£54.64,This book titled 'Birdsong: A Story in Pictures' is interesting.,Positive
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,This book titled 'America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana' is interesting.,Positive
Aladdin and His Wonderful Lamp,Â£53.13,This book titled 'Aladdin and His Wonderful Lamp' is interesting.,Positive
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,This book titled 'Worlds Elsewhere: Journeys Around Shakespeareâs Globe' is interesting.,Positive
Wall and Piece,Â£44.18,This book titled 'Wall and Piece' is interesting.,Positive
The Four Agreements: A Practical Guide to Personal Freedom,Â£17.66,This book titled 'The Four Agreements: A Practical Guide to Personal Freedom' is interesting.,Positive
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â£31.05,This book titled 'The Five Love Languages: How to Express Heartfelt Commitment to Your Mate' is interesting.,Positive
The Elephant Tree,Â£23.82,This book titled 'The Elephant Tree' is interesting.,Positive
The Bear and the Piano,Â£36.89,This book titled 'The Bear and the Piano' is interesting.,Positive
Sophie's World,Â£15.94,This book titled 'Sophie's World' is interesting.,Positive
Penny Maybe,Â£33.29,This book titled 'Penny Maybe' is interesting.,Positive
Maude (1883-1993):She Grew Up with the country,Â£18.02,This book titled 'Maude (1883-1993):She Grew Up with the country' is interesting.,Positive
"In a Dark, Dark Wood",Â£19.63,"This book titled 'In a Dark, Dark Wood' is interesting.",Positive
Behind Closed Doors,Â£52.22,This book titled 'Behind Closed Doors' is interesting.,Neutral
You can't bury them all: Poems,Â£33.63,This book titled 'You can't bury them all: Poems' is interesting.,Positive
Slow States of Collapse: Poems,Â£57.31,This book titled 'Slow States of Collapse: Poems' is interesting.,Positive
Reasons to Stay Alive,Â£26.41,This book titled 'Reasons to Stay Alive' is interesting.,Positive
Private Paris (Private #10),Â£47.61,This book titled 'Private Paris (Private #10)' is interesting.,Positive
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Â£23.11,This book titled '#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.' is interesting.,Positive
Without Borders (Wanderlove #1),Â£45.07,This book titled 'Without Borders (Wanderlove #1)' is interesting.,Positive
When We Collided,Â£31.77,This book titled 'When We Collided' is interesting.,Positive
"We Love You, Charlie Freeman",Â£50.27,"This book titled 'We Love You, Charlie Freeman' is interesting.",Positive
Untitled Collection: Sabbath Poems 2014,Â£14.27,This book titled 'Untitled Collection: Sabbath Poems 2014' is interesting.,Positive
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Â£44.18,"This book titled 'Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness' is interesting.",Positive
Unicorn Tracks,Â£18.78,This book titled 'Unicorn Tracks' is interesting.,Positive
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Â£25.52,"This book titled 'Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink' is interesting.",Positive
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â£16.28,This book titled 'Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2)' is interesting.,Positive
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Â£31.12,This book titled 'Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity' is interesting.,Positive
This One Summer,Â£19.49,This book titled 'This One Summer' is interesting.,Positive
Thirst,Â£17.27,This book titled 'Thirst' is interesting.,Positive
The Torch Is Passed: A Harding Family Story,Â£19.09,This book titled 'The Torch Is Passed: A Harding Family Story' is interesting.,Positive
The Secret of Dreadwillow Carse,Â£56.13,This book titled 'The Secret of Dreadwillow Carse' is interesting.,Positive
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Â£56.41,"This book titled 'The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!' is interesting.",Positive
The Past Never Ends,Â£56.50,This book titled 'The Past Never Ends' is interesting.,Positive
The Natural History of Us (The Fine Art of Pretending #2),Â£45.22,This book titled 'The Natural History of Us (The Fine Art of Pretending #2)' is interesting.,Positive
The Nameless City (The Nameless City #1),Â£38.16,This book titled 'The Nameless City (The Nameless City #1)' is interesting.,Negative
The Murder That Never Was (Forensic Instincts #5),Â£54.11,This book titled 'The Murder That Never Was (Forensic Instincts #5)' is interesting.,Positive
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Â£42.96,This book titled 'The Most Perfect Thing: Inside (and Outside) a Bird's Egg' is interesting.,Positive
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Â£23.89,"This book titled 'The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy' is interesting.",Positive
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Â£16.77,This book titled 'The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing' is interesting.,Positive
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Â£20.59,"This book titled 'The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer' is interesting.",Positive
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Â£37.13,This book titled 'The Gutsy Girl: Escapades for Your Life of Epic Adventure' is interesting.,Positive
The Electric Pencil: Drawings from Inside State Hospital No. 3,Â£56.06,This book titled 'The Electric Pencil: Drawings from Inside State Hospital No. 3' is interesting.,Positive
The Death of Humanity: and the Case for Life,Â£58.11,This book titled 'The Death of Humanity: and the Case for Life' is interesting.,Positive
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Â£49.05,"This book titled 'The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life' is interesting.",Positive
The Art Forger,Â£40.76,This book titled 'The Art Forger' is interesting.,Positive
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,Â£19.73,This book titled 'The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind' is interesting.,Positive
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Â£32.24,This book titled 'The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution' is interesting.,Positive
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Â£41.83,This book titled 'Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up' is interesting.,Positive
Soul Reader,Â£39.58,This book titled 'Soul Reader' is interesting.,Positive
Security,Â£39.25,This book titled 'Security' is interesting.,Positive
"Saga, Volume 6 (Saga (Collected Editions) #6)",Â£25.02,"This book titled 'Saga, Volume 6 (Saga (Collected Editions) #6)' is interesting.",Positive
"Saga, Volume 5 (Saga (Collected Editions) #5)",Â£51.04,"This book titled 'Saga, Volume 5 (Saga (Collected Editions) #5)' is interesting.",Positive
Reskilling America: Learning to Labor in the Twenty-First Century,Â£19.83,This book titled 'Reskilling America: Learning to Labor in the Twenty-First Century' is interesting.,Positive
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Â£50.40,"This book titled 'Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)' is interesting.",Positive
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Â£13.61,"This book titled 'Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)' is interesting.",Positive
Princess Between Worlds (Wide-Awake Princess #5),Â£13.34,This book titled 'Princess Between Worlds (Wide-Awake Princess #5)' is interesting.,Positive
"Pop Gun War, Volume 1: Gift",Â£18.97,"This book titled 'Pop Gun War, Volume 1: Gift' is interesting.",Positive
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Â£36.28,"This book titled 'Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics' is interesting.",Negative
Patience,Â£10.16,This book titled 'Patience' is interesting.,Positive
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Â£15.44,"This book titled 'Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)' is interesting.",Positive
orange: The Complete Collection 1 (orange: The Complete Collection #1),Â£48.41,This book titled 'orange: The Complete Collection 1 (orange: The Complete Collection #1)' is interesting.,Positive
Online Marketing for Busy Authors: A Step-By-Step Guide,Â£46.35,This book titled 'Online Marketing for Busy Authors: A Step-By-Step Guide' is interesting.,Positive
On a Midnight Clear,Â£14.07,This book titled 'On a Midnight Clear' is interesting.,Positive
Obsidian (Lux #1),Â£14.86,This book titled 'Obsidian (Lux #1)' is interesting.,Positive
My Paris Kitchen: Recipes and Stories,Â£33.37,This book titled 'My Paris Kitchen: Recipes and Stories' is interesting.,Positive
Masks and Shadows,Â£56.40,This book titled 'Masks and Shadows' is interesting.,Positive
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Â£14.02,"This book titled 'Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed' is interesting.",Negative
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Â£46.91,"This book titled 'Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)' is interesting.",Positive
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Â£45.61,"This book titled 'Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)' is interesting.",Positive
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Â£19.92,This book titled 'Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12)' is interesting.,Negative
"Layered: Baking, Building, and Styling Spectacular Cakes",Â£40.11,"This book titled 'Layered: Baking, Building, and Styling Spectacular Cakes' is interesting.",Positive
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Â£53.90,This book titled 'Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners)' is interesting.,Positive
Join,Â£35.67,This book titled 'Join' is interesting.,Positive
In the Country We Love: My Family Divided,Â£22.00,This book titled 'In the Country We Love: My Family Divided' is interesting.,Positive
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Â£57.36,This book titled 'Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine' is interesting.,Positive
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Â£29.17,"This book titled 'I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)' is interesting.",Negative
I am a Hero Omnibus Volume 1,Â£54.63,This book titled 'I am a Hero Omnibus Volume 1' is interesting.,Positive
How to Be Miserable: 40 Strategies You Already Use,Â£46.03,This book titled 'How to Be Miserable: 40 Strategies You Already Use' is interesting.,Negative
Her Backup Boyfriend (The Sorensen Family #1),Â£33.97,This book titled 'Her Backup Boyfriend (The Sorensen Family #1)' is interesting.,Positive
"Giant Days, Vol. 2 (Giant Days #5-8)",Â£22.11,"This book titled 'Giant Days, Vol. 2 (Giant Days #5-8)' is interesting.",Positive
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Â£29.69,This book titled 'Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton' is interesting.,Positive
First and First (Five Boroughs #3),Â£15.97,This book titled 'First and First (Five Boroughs #3)' is interesting.,Positive
Fifty Shades Darker (Fifty Shades #2),Â£21.96,This book titled 'Fifty Shades Darker (Fifty Shades #2)' is interesting.,Positive
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Â£54.35,This book titled 'Everydata: The Misinformation Hidden in the Little Data You Consume Every Day' is interesting.,Positive
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Â£37.97,"This book titled 'Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master' is interesting.",Positive
Danganronpa Volume 1,Â£51.99,This book titled 'Danganronpa Volume 1' is interesting.,Positive
Crown of Midnight (Throne of Glass #2),Â£43.29,This book titled 'Crown of Midnight (Throne of Glass #2)' is interesting.,Positive
"Codename Baboushka, Volume 1: The Conclave of Death",Â£36.72,"This book titled 'Codename Baboushka, Volume 1: The Conclave of Death' is interesting.",Positive
Camp Midnight,Â£17.08,This book titled 'Camp Midnight' is interesting.,Positive
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Â£29.14,This book titled 'Call the Nurse: True Stories of a Country Nurse on a Scottish Isle' is interesting.,Positive
Burning,Â£28.81,This book titled 'Burning' is interesting.,Positive
Bossypants,Â£49.46,This book titled 'Bossypants' is interesting.,Positive
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Â£37.92,"This book titled 'Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))' is interesting.",Positive
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Â£28.09,"This book titled 'Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)' is interesting.",Positive
Algorithms to Live By: The Computer Science of Human Decisions,Â£30.81,This book titled 'Algorithms to Live By: The Computer Science of Human Decisions' is interesting.,Positive
A World of Flavor: Your Gluten Free Passport,Â£42.95,This book titled 'A World of Flavor: Your Gluten Free Passport' is interesting.,Positive
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Â£56.76,"This book titled 'A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations' is interesting.",Positive
A Murder in Time,Â£16.64,This book titled 'A Murder in Time' is interesting.,Positive
A Flight of Arrows (The Pathfinders #2),Â£55.53,This book titled 'A Flight of Arrows (The Pathfinders #2)' is interesting.,Positive
A Fierce and Subtle Poison,Â£28.13,This book titled 'A Fierce and Subtle Poison' is interesting.,Positive
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Â£52.37,This book titled 'A Court of Thorns and Roses (A Court of Thorns and Roses #1)' is interesting.,Positive
(Un)Qualified: How God Uses Broken People to Do Big Things,Â£54.00,This book titled '(Un)Qualified: How God Uses Broken People to Do Big Things' is interesting.,Positive
You Are What You Love: The Spiritual Power of Habit,Â£21.87,This book titled 'You Are What You Love: The Spiritual Power of Habit' is interesting.,Positive
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Â£43.30,"This book titled 'William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)' is interesting.",Positive
Tuesday Nights in 1980,Â£21.04,This book titled 'Tuesday Nights in 1980' is interesting.,Positive
Tracing Numbers on a Train,Â£41.60,This book titled 'Tracing Numbers on a Train' is interesting.,Positive
Throne of Glass (Throne of Glass #1),Â£35.07,This book titled 'Throne of Glass (Throne of Glass #1)' is interesting.,Positive
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,Â£59.64,This book titled 'Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History' is interesting.,Positive
Thirteen Reasons Why,Â£52.72,This book titled 'Thirteen Reasons Why' is interesting.,Positive
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Â£58.08,This book titled 'The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ' is interesting.,Positive
The Wedding Dress,Â£24.12,This book titled 'The Wedding Dress' is interesting.,Positive
The Vacationers,Â£42.15,This book titled 'The Vacationers' is interesting.,Positive
The Third Wave: An Entrepreneurâs Vision of the Future,Â£12.61,This book titled 'The Third Wave: An Entrepreneurâs Vision of the Future' is interesting.,Positive
The Stranger,Â£17.44,This book titled 'The Stranger' is interesting.,Positive
The Shadow Hero (The Shadow Hero),Â£33.14,This book titled 'The Shadow Hero (The Shadow Hero)' is interesting.,Positive
The Secret (The Secret #1),Â£27.37,This book titled 'The Secret (The Secret #1)' is interesting.,Negative
The Regional Office Is Under Attack!,Â£51.36,This book titled 'The Regional Office Is Under Attack!' is interesting.,Positive
The Psychopath Test: A Journey Through the Madness Industry,Â£36.00,This book titled 'The Psychopath Test: A Journey Through the Madness Industry' is interesting.,Positive
The Project,Â£10.65,This book titled 'The Project' is interesting.,Positive
The Power of Now: A Guide to Spiritual Enlightenment,Â£43.54,This book titled 'The Power of Now: A Guide to Spiritual Enlightenment' is interesting.,Positive
The Omnivore's Dilemma: A Natural History of Four Meals,Â£38.21,This book titled 'The Omnivore's Dilemma: A Natural History of Four Meals' is interesting.,Positive
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Â£37.34,This book titled 'The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us' is interesting.,Positive
The Murder of Roger Ackroyd (Hercule Poirot #4),Â£44.10,This book titled 'The Murder of Roger Ackroyd (Hercule Poirot #4)' is interesting.,Positive
The Mistake (Off-Campus #2),Â£43.29,This book titled 'The Mistake (Off-Campus #2)' is interesting.,Positive
The Matchmaker's Playbook (Wingmen Inc. #1),Â£55.85,This book titled 'The Matchmaker's Playbook (Wingmen Inc. #1)' is interesting.,Positive
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Â£37.60,This book titled 'The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking' is interesting.,Positive
The Long Shadow of Small Ghosts: Murder and Memory in an American City,Â£10.97,This book titled 'The Long Shadow of Small Ghosts: Murder and Memory in an American City' is interesting.,Positive
The Kite Runner,Â£41.82,This book titled 'The Kite Runner' is interesting.,Positive
The House by the Lake,Â£36.95,This book titled 'The House by the Lake' is interesting.,Positive
The Glittering Court (The Glittering Court #1),Â£44.28,This book titled 'The Glittering Court (The Glittering Court #1)' is interesting.,Positive
The Girl on the Train,Â£55.02,This book titled 'The Girl on the Train' is interesting.,Positive
The Genius of Birds,Â£17.24,This book titled 'The Genius of Birds' is interesting.,Positive
The Emerald Mystery,Â£23.15,This book titled 'The Emerald Mystery' is interesting.,Positive
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Â£41.25,This book titled 'The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First' is interesting.,Positive
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Â£32.00,This book titled 'The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.' is interesting.,Positive
The Artist's Way: A Spiritual Path to Higher Creativity,Â£38.49,This book titled 'The Artist's Way: A Spiritual Path to Higher Creativity' is interesting.,Positive
The Art of War,Â£33.34,This book titled 'The Art of War' is interesting.,Positive
The Argonauts,Â£10.93,This book titled 'The Argonauts' is interesting.,Positive
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Â£27.55,This book titled 'The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job' is interesting.,Positive
Suddenly in Love (Lake Haven #1),Â£55.99,This book titled 'Suddenly in Love (Lake Haven #1)' is interesting.,Positive
Something More Than This,Â£16.24,This book titled 'Something More Than This' is interesting.,Positive
Soft Apocalypse,Â£26.12,This book titled 'Soft Apocalypse' is interesting.,Positive
So You've Been Publicly Shamed,Â£12.23,This book titled 'So You've Been Publicly Shamed' is interesting.,Positive
Shoe Dog: A Memoir by the Creator of NIKE,Â£23.99,This book titled 'Shoe Dog: A Memoir by the Creator of NIKE' is interesting.,Positive
"Shobu Samurai, Project Aryoku (#3)",Â£29.06,"This book titled 'Shobu Samurai, Project Aryoku (#3)' is interesting.",Positive
Secrets and Lace (Fatal Hearts #1),Â£20.27,This book titled 'Secrets and Lace (Fatal Hearts #1)' is interesting.,Positive
Scarlett Epstein Hates It Here,Â£43.55,This book titled 'Scarlett Epstein Hates It Here' is interesting.,Positive
Romero and Juliet: A Tragic Tale of Love and Zombies,Â£36.94,This book titled 'Romero and Juliet: A Tragic Tale of Love and Zombies' is interesting.,Positive
Redeeming Love,Â£20.47,This book titled 'Redeeming Love' is interesting.,Positive
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Â£41.06,This book titled 'Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form' is interesting.,Positive
Poems That Make Grown Women Cry,Â£14.19,This book titled 'Poems That Make Grown Women Cry' is interesting.,Positive
"Nightingale, Sing",Â£38.28,"This book titled 'Nightingale, Sing' is interesting.",Positive
Night Sky with Exit Wounds,Â£41.05,This book titled 'Night Sky with Exit Wounds' is interesting.,Positive
Mrs. Houdini,Â£30.25,This book titled 'Mrs. Houdini' is interesting.,Positive
Modern Romance,Â£28.26,This book titled 'Modern Romance' is interesting.,Positive
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),Â£10.76,This book titled 'Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1)' is interesting.,Positive
Louisa: The Extraordinary Life of Mrs. Adams,Â£16.85,This book titled 'Louisa: The Extraordinary Life of Mrs. Adams' is interesting.,Positive
Little Red,Â£13.47,This book titled 'Little Red' is interesting.,Positive
Library of Souls (Miss Peregrineâs Peculiar Children #3),Â£48.56,This book titled 'Library of Souls (Miss Peregrineâs Peculiar Children #3)' is interesting.,Positive
Large Print Heart of the Pride,Â£19.15,This book titled 'Large Print Heart of the Pride' is interesting.,Positive
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Â£57.36,This book titled 'I Had a Nice Time And Other Lies...: How to find love & sh*t like that' is interesting.,Positive
Hollow City (Miss Peregrineâs Peculiar Children #2),Â£42.98,This book titled 'Hollow City (Miss Peregrineâs Peculiar Children #2)' is interesting.,Positive
Grumbles,Â£22.16,This book titled 'Grumbles' is interesting.,Positive
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Â£49.43,This book titled 'Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond' is interesting.,Positive
Frostbite (Vampire Academy #2),Â£29.99,This book titled 'Frostbite (Vampire Academy #2)' is interesting.,Positive
Follow You Home,Â£21.36,This book titled 'Follow You Home' is interesting.,Positive
First Steps for New Christians (Print Edition),Â£29.00,This book titled 'First Steps for New Christians (Print Edition)' is interesting.,Positive
Finders Keepers (Bill Hodges Trilogy #2),Â£53.53,This book titled 'Finders Keepers (Bill Hodges Trilogy #2)' is interesting.,Positive
"Fables, Vol. 1: Legends in Exile (Fables #1)",Â£41.62,"This book titled 'Fables, Vol. 1: Legends in Exile (Fables #1)' is interesting.",Positive
Eureka Trivia 6.0,Â£54.59,This book titled 'Eureka Trivia 6.0' is interesting.,Positive
Drive: The Surprising Truth About What Motivates Us,Â£34.95,This book titled 'Drive: The Surprising Truth About What Motivates Us' is interesting.,Positive
Done Rubbed Out (Reightman & Bailey #1),Â£37.72,This book titled 'Done Rubbed Out (Reightman & Bailey #1)' is interesting.,Positive
Doing It Over (Most Likely To #1),Â£35.61,This book titled 'Doing It Over (Most Likely To #1)' is interesting.,Positive
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Â£42.16,"This book titled 'Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals' is interesting.",Positive
